School,Conf,W,L, Ratio ,OffenceScore,Defense Score,Score,PointsPerGame
UCLA,Pac-12,4,8,0.5,-0.86,3.49,2.63,71.93
Utah,Pac-12,9,4,2.25,3.31,5.35,8.65,75.34
Washington,Pac-12,12,2,6,7.59,12.39,19.98,88.28
Washington State,Pac-12,8,5,1.6,5.7,3.33,9.03,84.22
Alabama,SEC,14,1,14,8.01,17.62,25.62,90.38
Arkansas,SEC,7,6,1.166666667,4.06,0.29,4.35,80.66
Auburn,SEC,8,5,1.6,-1.04,13.02,11.97,81.8
Florida,SEC,9,4,2.25,-2.62,13.6,10.98,74.4
Georgia,SEC,8,5,1.6,0.35,3.29,3.64,74.16
Kentucky,SEC,7,6,1.166666667,4.33,-2.03,2.3,78.92
LSU,SEC,8,4,2,2.68,13.25,15.93,79.6
Mississippi,SEC,,,,,,,
Mississippi State,SEC,6,7,0.857142857,5.19,-3.51,1.68,80.98
Missouri,SEC,4,8,0.5,0.19,-2.69,-2.5,81.02
South Carolina,SEC,6,7,0.857142857,-5.88,4.97,-0.91,68.17
Tennessee,SEC,9,4,2.25,11.58,-0.99,10.59,88.42
Texas A&M,SEC,8,5,1.6,5.4,3.37,8.77,84.98
Vanderbilt,SEC,6,7,0.857142857,-2.05,5.26,3.21,72.09
Appalachian State,Sun Belt,10,3,3.333333333,-0.86,9.68,8.83,70.76
Arkansas State,Sun Belt,8,5,1.6,-3.46,2.9,-0.56,70.41
Coastal Carolina,Sun Belt,,,,,,,
Georgia Southern,Sun Belt,5,7,0.714285714,-3.04,-1.36,-4.4,71.25
Georgia State,Sun Belt,3,9,0.333333333,-8.2,-1.17,-9.37,64.06
Louisiana-Lafayette,Sun Belt,,,,,,,
Louisiana-Monroe,Sun Belt,4,8,0.5,-4.42,-7.55,-11.97,68.45
South Alabama,Sun Belt,6,7,0.857142857,-2.84,-2.96,-5.8,68.61
Texas State,Sun Belt,2,10,0.2,-9.6,-9.26,-18.86,63
Troy,Sun Belt,10,3,3.333333333,1.63,2.48,4.1,77.3
